title;snippet
Law and Immigration Order;"The Supreme Court played to a draw Thursday on President Obama's lawless immigration order, issuing a mere single sentence opinion that, ""The judgment is affirmed by an equally divided Court."" This means the Justices were divided 4-4 and chose not to elaborate their competing views when they couldn't set a legal precedent.

That's a disappointment. We would like to see where the individual Justices stand on the profound constitutional questions raised by the 26-state challenge to Mr. Obama's 2014 diktat legalizing millions of undocumented aliens (U.S. v. Texas). A least the split suggests that four Justices are troubled by the President's unprecedented claim of unilateral power.

"
Keywords: Drones Have a Role In Your Firm's Future;"When a hailstorm hit San Antonio in April, Kristina Tomasetti knew it was time to call out the drones.

Ms. Tomasetti is a director of innovation at insurer USAA, which acquired drones last year in hopes of using them to survey storm damage.

"
'Economic Illiberalism' May Send Oil Back to $40 -- Market Talk;"9:10 ET - Oil prices could easily fall back to $40/barrel if ""economic illiberalism"" sweeps the globe, says Bud Weinstein at SMU's Maguire Energy Institute in Dallas. ""Free trade, free-flowing capital--all those things were seen as a net plus for the world economy,"" he tells WSJ. ""The worry now is that the Brexit vote leads to a series of actions that slow down global economic growth and pushes us into recession."" This isn't guaranteed to happen, Weinstein admits, but ""unless we see some evidence of moral suasion"" that could halt or reverse global leanings, then oil prices will remain pressured. Nymex August oil is down 2% at $46.65. (dan.molinski@wsj.com)

(END) Dow Jones Newswires

"
Mayor de Blasio Hunkers Down Amid the Probes;"New York City Mayor Bill de Blasio has introduced few large-scale policies this year that will drive his 2017 re-election bid, raising concerns among some aides and Democratic allies.

From a policy standpoint, Mr. de Blasio's third year in office is shaping up to be his slowest yet, according to the mayor's public schedules, some City Council members and some of the mayor's aides.

"
City News: De Blasio Lauds Policing Model, Commissioner;"Mayor Bill de Blasio said Thursday he disagreed with a report that challenges the ""broken windows"" approach to fighting crime, highlighting the fine line he has tried to walk between his popular police commissioner and a political base that elected him to overhaul the New York Police Department.

A watchdog agency on Wednesday released an analysis that concluded cracking down on public urination and other low-level offenses doesn't lead to a decline in more serious crimes. The findings run counter to a tactic championed by Police Commissioner William Bratton.

"
CHINA PRESS DIGEST SUMMARY(2016/6/24);"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
Two Abu Dhabi Banks May Form A Mideast Giant;"DUBAI -- Two Abu Dhabi-based banks said they are considering a merger to potentially form the Middle East's largest lender by assets, a plan that comes as low oil prices strain the Gulf economies.

National Bank of Abu Dhabi and First Gulf Bank on Sunday said they each had formed a working group of senior managers to review the commercial potential of a merger without providing financial details. They warned, however, that there is no certainty discussions will ultimately be fruitful.

"
EU Referendum: Northern Ireland Teeters on Front Line --- Threats to trade with island neighbor loom large in debate over EU membership;"WARRENPOINT, Northern Ireland -- As the only part of the U.K. to share a land border with another European Union member state, Northern Ireland could see an outsize impact if Thursday's referendum results in a decision to leave the bloc.

Northern Ireland's economy is heavily dependent on trade with its neighbor, and its manufacturing sector is skewed toward products that could face high tariffs outside the EU's single market, such as food and drink, according to a February report by Oxford Economics, a consultancy.

"
Who Will Be Britain's Next Prime Minister?;"It would have been understandable if Boris Johnson had allowed himself a celebratory fist-pump when he appeared before the press in London on Friday morning. After all, the former London mayor was the de facto leader of the Out campaign, which against all odds had just won the U.K.'s referendum on the European Union.

Yet he looked shocked and ashen-faced. Not because he was now regretting his decision to campaign for Brexit, but because a short time earlier David Cameron had announced that by October he would step down as Britain's prime minister. Plenty of people thought his resignation was inevitable, given how vigorously Mr. Cameron had fought to stay in the EU. But not Boris. He was one of 84 Conservative members of Parliament who had written a letter to Mr. Cameron on the eve of the referendum saying he had a ""mandate and duty"" to stay in post whatever the result.

"
Sterling Vulnerable to Fresh Selling -- Brexit Market Talk;"0653 GMT Sterling starts the week on a negative note again after last week's vote by the U.K. to leave the European Union. It trades down around 1% against the dollar at $1.3447 and at 0.8212 per euro. Although it is above the 31-year low against the dollar around $1.3230 and the low of 0.8316 vs euro that was hit early Friday in the wake of the referendum result, the pound trades well below levels around $1.37 seen in late London trading on Friday. This suggests the pound has yet to stablize and is vulnerable to fresh selling. ""With such a large, and likely extended, degree of uncertainty hanging over the U.K.'s relationship with the EU ... it is unlikely that GBP will move quickly to a new, stable equilibrium,"" RBC says. (jessica.fleetham@wsj.com)

Contact us in London. +44-20-7842-9464

"
Can the Stock Market Predict U.S. Election?;"[javax.xml.bind.JAXBElement@6e715a43, javax.xml.bind.JAXBElement@757844b1, javax.xml.bind.JAXBElement@1d10b5d7]

We often get asked by clients when the U.S. election will be important for stocks. There was a pickup in this question yesterday as the U.S. election could get more attention once the Brexit vote clears later this week.

"
Comeback Bid Dominates Primary;"Former Nassau County Executive Tom Suozzi, one of five Democrats in Tuesday's primary for a congressional seat representing much of Long Island's North Shore, is seeking a comeback after three failed campaigns.

Mr. Suozzi, a former gubernatorial hopeful, has the most name recognition, a factor that his supporters hope will propel him in a race with few policy differences among the candidates and expectations of low voter turnout. His opponents say his name recognition has soured as his defeats have piled up.

"
Pride Marchers Honor Pulse's Victims;"Earl David Ball has danced with his husband, Tim Hare, in New York City's LGBT Pride March for nearly four decades, and they continued the tradition on Sunday.

This year, he said, he had 49 new reasons to play his accordion along the route, which runs from Midtown to Greenwich Village.

"
Grab Teams Up With Alipay in Tackling Uber in Southeast Asia -- Market Talk;"0554 GMT [Dow Jones] Chinese visitors to Singapore and Thailand starting Tuesday can pay for their trips with ride-hailing company GrabTaxi Holdings Pte. Ltd., or Grab, with China's top mobile wallet app Alipay, owned by Alibaba's financial services affiliate. In a move to steal Chinese tourists away from rival Uber Technologies Inc., Grab said that it plans to make the Alipay payment option available soon in other Southeast Asian markets that Grab currently operates in, including Indonesia, Vietnam, Malaysia, and the Philippines. On its part, Uber in May became the first app to enable worldwide payment with Alipay, whose parent Alibaba is a main investor in Chinese ride-hailing app Didi Chuxing, which alongside Grab established an anti-Uber alliance in their bid to become the world's largest transportation network. (restyworo.yuniar@wsj.com; Twitter: @restyworo)

Editor: JFN

"
"MARKET TALK: HSI Up 0.2%, CEI Up 0.7%; Heavyweights Remain Soft";"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(Delayed by 1 hour)

"
Stubborn U.K. Borrowing Remains Over Target -- Market Talk;"0838 GMT U.K. government borrowing looks likely to once again exceed official borrowing targets this year, according to figures released Tuesday by the Office for National Statistics. The new data show that public sector net borrowing for May 2016 stands at GBP9.7 billion, down from GBP10.1 billion a year ago, and roughly in line with projections of economists polled by the Wall Street Journal. However, government borrowing in the first two months of the financial year has been higher than predicted by the Office for Budget Responsibility, highlighting the difficulty of Treasury chief George Osborne's task in balance the U.K.'s books by 2020. An increase in the net cash requirement of central government is partly responsible for the target miss.(david.hodari@wsj.com; @davidhodari)

Contact us in London. +44-20-7842-9464

"
Zinc’s Rally May Be Just Getting Started;"[javax.xml.bind.JAXBElement@789e52bc, javax.xml.bind.JAXBElement@17a06705, javax.xml.bind.JAXBElement@308dde33]

[javax.xml.bind.JAXBElement@f4220aa, javax.xml.bind.JAXBElement@5c3984c, javax.xml.bind.JAXBElement@11cf5fbe]

"
Sterling Stalls Before Referendum -- Brexit Market Talk;"0803 GMT Sterling trades flat at $1.4665, stalling after rising Tuesday to a 6.5 month peak of $1.4784. One day before the U.K. referendum on EU membership, analysts say investors are wary of pushing the currency higher. Sentiment has improved after polls show increased support for remaining in the EU, while bookmakers drop the likelihood of a leave vote to around 25%, but the vote is not a done deal. EUR/GBP is up 0.2% at 0.7687. ""Clearly, the day ahead will be dominated by shifts in sentiment on the likely [referendum] outcome,"" RBC says, adding this is driving ""all proxies for general risk appetite."" EUR/USD trades up 0.2 to $1.1270, while riskier commodity-linked currencies rise, with AUD/USD up 0.4%. (jessica.fleetham@wsj.com)

Contact us in London. +44-20-7842-9464

"
Eurozone Consumer Confidence Weakens Slightly -- Market Talk;"1403 GMT Eurozone consumer confidence edged down slightly in June, but remained well above its long-term average, so no sign of Brexit-induced despair. The Commission's preliminary measure of consumer sentiment fell to minus 7.3 from minus 7, an indication that household spending is likely to continue to rise over coming months, helping to support a modest recovery. Offsetting the EU's existential concerns are a slow, steady fall in the unemployment rate, and a pickup in real wages as a result of recent deflation. The consensus forecast was for an unchanged reading. (paul.hannon@wsj.com; @PaulHannon29)

Contact us in London. +44-20-7842-9464

"
"World News: U.S.-Backed Force Moves to Take Syria City --- Arab, Kurdish fighters push into Islamic State- held city; aim to close off access to Turkish border";"U.S.-backed forces entered the Islamic State-controlled city of Manbij in Syria for the first time on Thursday, advancing on an area that anchors the extremist group's last remaining stretch of territory along the Turkish border.

After weeks of battle to capture the villages surrounding Manbij and encircle the city, Arab and Kurdish forces backed by dozens of U.S. coalition airstrikes entered the western edge of the city, said Ahmad Hisso Araj, a spokesman for the U.S.-backed coalition known as the Syrian Democratic Forces.

"
"""Initial"" Drop in GBP/USD to $1.35 on 'Leave' -- Brexit Market Talk";"1043 GMT In the event that the U.K. votes to leave the EU in Thursday's closely watched referendum, GBP/USD would ""initially test the financial crisis low of $1.35,"" ING analysts say. They add the vote would see GBP ""gap below $1.40."" Tuesday's six-month high around $1.4784 represented around a 2% Brexit risk premium, it estimates, adding that it does not expect the pound to rise beyond that high ahead of the referendum. ""Cable [GBP/USD] topped out at just under 1.4800 yesterday and we think those will be the best GBP levels ahead of the referendum outcome."" GBP/USD trades flat at $1.4670. (jessica.fleetham@wsj.com)

Contact us in London. +44-20-7842-9464

"
Spain Most Exposed to U.K., S&P Says -- Brexit Market Talk;"0642 GMT Spain is more exposed to the U.K. than other major European economies, according to Standard & Poor's Ratings Services. Analysts at the credit-rating firm prepared an index of which countries would be the most negatively impacted by a potential British exit, or Brexit, based on financial and economic ties. Ireland topped the list. But Spain came in well ahead of the eurozone's other major economies--Germany, France and Italy. One main reason is that Spanish lenders have among the greatest foreign retail banking presence in Britain, S&P analyst Frank Gill says. Santander generates around a quarter of its net profit there, selling mortgages and consumer loans to Britons, and Sabadell owns TSB. Outside of banking, Spanish telecommunications giant Telefonica owns British mobile operator O2. Look for those shares to drop when Spain's IBEX-35 opens. (jeannette.neumann@wsj.com)

Contact us in London. +44-20-7842-9464

"
ISS, Glass Lewis: LSE Investors Should Approve Merger with Deutsche Börse;"FRANKFURT--The proposed $30 billion merger of Deutsche Börse AG (DB1.XE) and London Stock Exchange Group PLC (LSE.LN ) has won backing from two influential shareholder-adviser services, even if Britain votes to exit the European Union.

Institutional Shareholder Services Inc. and Glass Lewis in recent days sent notices to LSE investors supporting the deal, asserting that the stock-exchange operators are a good fit. The recommendations by ISS and Glass Lewis are significant because LSE needs 75% of its shareholder base to approve of the transaction at a meeting on July 4.

"
"HSBC 7-Year Low; Brexit Hard Hit";"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
Deutsche Bank Shares Hit Fresh Record Low -- Brexit Market Talk;"0927 GMT Deutsche Bank shares hit a fresh record low at EUR12.30 on concerns about the European banking sector after the British vote to leave the EU vote. Analysts at Societe Generale downgrade the entire European banking sector to neutral from overweight. ""We do not expect the sector to outperform in this politically and economically uncertain environment and wait for new triggers to activate our call again,"" the analysts say. Deutsche Bank shares are now 6.3% lower at EUR12.52. (william.wilkes@wsj.com)

Contact us in London. +44-20-7842-9464

"
United Continental Targets $3.1 Billion in Revenue, Efficiency Gains;"United Continental Holdings Inc. on Tuesday outlined plans to boost profitability through a mix of cost and efficiency measures and securing higher fares from fliers.

The third-largest U.S. airline by traffic aims to lift revenue and trim expenses by a cumulative $3.1 billion between 2015 and 2018 as part of a broader effort by Chief Executive Oscar Munoz to reshape a company that some analysts have said requires bigger reforms to close its profit gap with rivals.

"
Study Challenges 'Windows' Tactic In Cutting Crime;"Cracking down on public urination, disorderly conduct and other low-level offenses doesn't lead to a decline in more serious crimes, a watchdog agency tasked with monitoring the New York Police Department said Wednesday.

From 2010 to 2015, the issuing of summonses and arrests for minor offenses ""dramatically declined"" with no increase in felonies, according to a report by the city's Office of the Inspector General.

"
China NDRC Announcements;"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
China PBOC Announcements;"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
"German Jun Ifo 108.7; Forecast 107.5";"*German Jun Ifo Current Conditions 114.5

*German Jun Ifo Expectations 103.1

"
"Vital Mobile Record Low; 1H Pft To Tumble";"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
Emerson Electric Dividend Looks Safe;"[javax.xml.bind.JAXBElement@25559ca7, javax.xml.bind.JAXBElement@23157b93, javax.xml.bind.JAXBElement@79a8eb4b]

Emerson Electric (EMR: NYSE) By Credit Suisse ($53.62, June 20, 2016)

"
Post Holdings Recently Held Talks to Combine With ConAgra's Lamb Weston -- Sources;"Cereal maker Post Holdings Inc. recently held talks to combine with ConAgra Foods Inc.'s frozen-potato business, according to people familiar with the matter, in what would be one of the biggest recent consumer-industry mergers.

The talks stalled but could come back to life, the people said, adding that ConAgra is currently focused on a previously announced plan to spin off the potato business, which is known as Lamb Weston, this year.

"
Traders Get Ready for More Eurozone Volatility;"Traders are turning their sights to the eurozone, betting Britain's decision to leave the EU could put more pressure on the fault lines running through the currency union.

Stock markets in the countries sharing the euro, and the common currency itself, were at the forefront of the steep falls in global markets at the end of last week. But more telling were trading patterns like those during the eurozone's sovereign-debt crisis that ran from 2010 to 2012. Government bonds and shares of weaker economies such as Italy and Spain suffered an even bigger selloff.

"
